volts (V),actual_distance_z(um),distance_pi_z(um),actual_distance_x(um),actual_distance_y(um)
0,0,57.37,0,0
2,1,58.9,3,0
4,2,60.52,4,0
6,4,62.21,7,2
8,5,63.97,9,3
10,7,65.83,11,5
12,9,67.84,12,6
14,11,69.93,15,8
16,13,72.1,17,9
18,16,74.32,17,10
20,18,76.56,19,12
22,20,78.85,22,14
24,22,81.19,24,16
26,24,83.57,28,17
28,27,85.99,29,19
30,29,88.44,31,21
32,32,90.92,34,23
34,36,93.42,36,26
36,37,95.95,41,28
38,40,98.49,41,30
40,42,101.05,44,33
42,45,103.63,46,35
44,47,106.2,49,37
46,50,108.8,51,40
48,52,111.39,54,42
50,55,114,56,44
52,57,114.82,59,46
54,60,114.82,61,49
56,63,114.82,64,51
58,65,114.82,67,53
60,68,114.82,69,55
62,71,114.82,72,57
64,73,114.82,74,59
66,76,114.82,76,62
68,78,114.82,79,64
70,81,114.82,81,66
72,84,114.82,83,69
74,86,114.82,86,71
76,88,114.82,88,73
78,91,114.82,91,75
80,93,114.82,93,77
82,96,114.82,96,79
84,98,114.82,98,81
86,101,114.82,100,83
88,104,114.82,103,85
90,106,114.82,105,87
92,108,114.82,107,89
94,111,114.82,109,91
96,113,114.82,111,93
98,115,114.82,113,95
100,118,114.82,115,98
