volts (V),actual_distance (mm),actual_distance (um),distance_pi (um)
0,0,0,57.37
1,0,0,58.11
2,1,0.000001,58.9
3,2,0.000002,59.7
4,2,0.000002,60.52
5,3,0.000003,61.35
6,4,0.000004,62.21
7,5,0.000005,63.08
8,5,0.000005,63.97
9,6,0.000006,64.89
10,7,0.000007,65.83
11,8,0.000008,66.81
12,9,0.000009,67.84
13,11,0.000011,68.88
14,11,0.000011,69.93
15,12,0.000012,71.01
16,13,0.000013,72.1
17,14,0.000014,73.19
18,16,0.000016,74.32
19,17,0.000017,75.42
20,18,0.000018,76.56
21,19,0.000019,77.69
22,20,0.00002,78.85
23,21,0.000021,80.02
24,22,0.000022,81.19
25,23,0.000023,82.39
26,24,0.000024,83.57
27,26,0.000026,84.79
28,27,0.000027,85.99
29,28,0.000028,87.21
30,29,0.000029,88.44
31,30,0.00003,89.67
32,32,0.000032,90.92
33,34,0.000034,92.17
34,36,0.000036,93.42
35,36,0.000036,94.68
36,37,0.000037,95.95
37,38,0.000038,97.22
38,40,0.00004,98.49
39,41,0.000041,99.77
40,42,0.000042,101.05
41,44,0.000044,102.34
42,45,0.000045,103.63
43,46,0.000046,104.91
44,47,0.000047,106.2
45,48,0.000048,107.5
46,50,0.00005,108.8
47,51,0.000051,110.09
48,52,0.000052,111.39
49,54,0.000054,112.7
50,55,0.000055,114
51,56,0.000056,114.82
52,57,0.000057,114.82
53,59,0.000059,114.82
54,60,0.00006,114.82
55,61,0.000061,114.82
56,63,0.000063,114.82
57,64,0.000064,114.82
58,65,0.000065,114.82
59,67,0.000067,114.82
60,68,0.000068,114.82
61,69,0.000069,114.82
62,71,0.000071,114.82
63,72,0.000072,114.82
64,73,0.000073,114.82
65,75,0.000075,114.82
66,76,0.000076,114.82
67,77,0.000077,114.82
68,78,0.000078,114.82
69,80,0.00008,114.82
70,81,0.000081,114.82
71,82,0.000082,114.82
72,84,0.000084,114.82
73,85,0.000085,114.82
74,86,0.000086,114.82
75,87,0.000087,114.82
76,88,0.000088,114.82
77,90,0.00009,114.82
78,91,0.000091,114.82
79,92,0.000092,114.82
80,93,0.000093,114.82
81,95,0.000095,114.82
82,96,0.000096,114.82
83,97,0.000097,114.82
84,98,0.000098,114.82
85,100,0.0001,114.82
86,101,0.000101,114.82
87,102,0.000102,114.82
88,104,0.000104,114.82
89,105,0.000105,114.82
90,106,0.000106,114.82
91,107,0.000107,114.82
92,108,0.000108,114.82
93,110,0.00011,114.82
94,111,0.000111,114.82
95,112,0.000112,114.82
96,113,0.000113,114.82
97,114,0.000114,114.82
98,115,0.000115,114.82
99,116,0.000116,114.82
100,118,0.000118, 114.82
